id,date,product_id,employee_id,quantity,unit_price,total_amount,payment_method,customer_type
36,2023-01-01,24,4,3,1899.0,5697.0,Cash,Regular
37,2023-01-01,2,14,1,8999.0,8999.0,Bank Transfer,Regular
38,2023-01-02,23,7,1,3299.0,3299.0,Card,Premium
39,2023-01-02,6,3,4,399.0,1596.0,Cash,Regular
40,2023-01-02,17,10,2,799.0,1598.0,Cash,Student
41,2023-01-02,16,18,1,599.0,599.0,Bank Transfer,Premium
42,2023-01-02,14,10,1,1299.0,1299.0,Cash,New
43,2023-01-02,4,19,2,15999.0,31998.0,Bank Transfer,Student
44,2023-01-02,16,17,1,599.0,599.0,MobilePay,Regular
45,2023-01-02,5,22,2,3499.0,6998.0,MobilePay,New
46,2023-01-02,4,7,1,12050.65,12050.65,Card,Student
47,2023-01-02,8,21,2,5999.0,11998.0,Bank Transfer,Student
48,2023-01-02,8,5,2,4798.04,9596.08,Card,Student
49,2023-01-02,4,23,2,14401.67,28803.34,Card,Student
50,2023-01-02,2,15,2,8999.0,17998.0,Cash,Student
51,2023-01-02,14,24,3,1299.0,3897.0,Bank Transfer,Premium
52,2023-01-02,18,16,1,4999.0,4999.0,Cash,Student
53,2023-01-02,14,9,1,1299.0,1299.0,MobilePay,New
54,2023-01-02,5,18,1,3499.0,3499.0,Bank Transfer,Premium
55,2023-01-02,17,3,1,799.0,799.0,Bank Transfer,Student
56,2023-01-02,1,14,1,12999.0,12999.0,Card,Student
57,2023-01-03,1,12,1,12999.0,12999.0,Bank Transfer,Premium
58,2023-01-03,11,9,1,1146.72,1146.72,Bank Transfer,Premium
59,2023-01-03,22,5,5,8999.0,44995.0,Bank Transfer,Regular
60,2023-01-03,2,14,1,8999.0,8999.0,Card,New
61,2023-01-03,7,7,1,1699.0,1699.0,Bank Transfer,New
62,2023-01-03,19,14,1,2553.59,2553.59,Card,New
63,2023-01-03,4,3,3,15999.0,47997.0,Card,Premium
64,2023-01-03,3,1,2,24999.0,49998.0,Bank Transfer,Regular
65,2023-01-03,13,7,1,2199.0,2199.0,Cash,Premium
66,2023-01-03,14,24,2,1299.0,2598.0,MobilePay,New
67,2023-01-03,2,1,4,8999.0,35996.0,Bank Transfer,Student
68,2023-01-03,24,7,1,1899.0,1899.0,MobilePay,Regular
69,2023-01-03,16,10,3,599.0,1797.0,Card,Regular
70,2023-01-03,5,14,2,2870.9,5741.8,Card,Student
71,2023-01-03,22,4,1,8999.0,8999.0,Bank Transfer,Premium
72,2023-01-03,9,24,2,899.0,1798.0,Bank Transfer,Student
73,2023-01-03,9,24,2,899.0,1798.0,MobilePay,Regular
74,2023-01-03,4,15,1,15999.0,15999.0,Bank Transfer,New
75,2023-01-03,1,11,1,12999.0,12999.0,Cash,New
76,2023-01-03,5,20,2,3499.0,6998.0,Card,Premium
77,2023-01-03,2,24,1,8999.0,8999.0,MobilePay,Student
78,2023-01-03,14,16,1,1157.61,1157.61,Bank Transfer,Premium
79,2023-01-04,15,12,1,1299.0,1299.0,Bank Transfer,New
80,2023-01-04,6,15,1,399.0,399.0,Card,Premium
81,2023-01-04,5,24,2,3499.0,6998.0,MobilePay,Premium
82,2023-01-04,4,16,1,15999.0,15999.0,Cash,Regular
83,2023-01-04,22,10,1,8999.0,8999.0,Card,Premium
84,2023-01-04,4,2,2,15999.0,31998.0,MobilePay,Student
85,2023-01-04,2,1,2,8999.0,17998.0,Bank Transfer,New
86,2023-01-04,3,2,1,24999.0,24999.0,Card,Regular
87,2023-01-04,8,3,2,5999.0,11998.0,MobilePay,Premium
88,2023-01-04,21,10,1,1999.0,1999.0,Bank Transfer,Premium
89,2023-01-04,20,13,1,699.0,699.0,Bank Transfer,New
90,2023-01-04,13,2,2,2199.0,4398.0,MobilePay,Premium
91,2023-01-04,4,3,1,15999.0,15999.0,Card,Premium
92,2023-01-04,1,15,2,12999.0,25998.0,Card,Premium
93,2023-01-04,5,10,2,3499.0,6998.0,MobilePay,New
94,2023-01-04,20,21,2,699.0,1398.0,MobilePay,Student
95,2023-01-05,12,21,1,1599.0,1599.0,MobilePay,Regular
96,2023-01-05,1,10,2,12999.0,25998.0,Cash,Student
97,2023-01-05,2,23,1,8999.0,8999.0,Cash,Student
98,2023-01-05,9,20,1,899.0,899.0,Cash,New
99,2023-01-05,1,8,4,12999.0,51996.0,Card,New
100,2023-01-05,13,25,3,2199.0,6597.0,Bank Transfer,New
101,2023-01-05,3,19,1,24999.0,24999.0,Card,Student
102,2023-01-05,5,11,1,3211.5,3211.5,Bank Transfer,Student
103,2023-01-05,5,13,3,3499.0,10497.0,Bank Transfer,Regular
104,2023-01-05,5,11,1,3499.0,3499.0,Card,Student
105,2023-01-06,1,17,1,12999.0,12999.0,Bank Transfer,Regular
106,2023-01-06,3,18,1,24999.0,24999.0,Bank Transfer,Regular
107,2023-01-06,1,21,2,12999.0,25998.0,MobilePay,New
108,2023-01-06,12,18,1,1599.0,1599.0,Card,Student
109,2023-01-06,24,21,3,1899.0,5697.0,Cash,New
110,2023-01-06,8,16,5,5999.0,29995.0,MobilePay,Student
111,2023-01-06,3,20,2,24999.0,49998.0,Card,New
112,2023-01-06,20,14,1,699.0,699.0,Cash,Regular
113,2023-01-06,5,10,3,3499.0,10497.0,Bank Transfer,Premium
114,2023-01-06,10,16,1,2499.0,2499.0,Bank Transfer,Student
115,2023-01-06,24,7,5,1899.0,9495.0,Bank Transfer,Premium
116,2023-01-06,22,14,1,8999.0,8999.0,Bank Transfer,Student
117,2023-01-06,25,21,5,999.0,4995.0,Card,Premium
118,2023-01-06,11,19,1,1014.51,1014.51,Card,Student
119,2023-01-06,1,5,1,12999.0,12999.0,MobilePay,Regular
120,2023-01-06,11,9,1,1299.0,1299.0,Card,New
121,2023-01-06,22,18,1,8999.0,8999.0,Bank Transfer,Regular
122,2023-01-06,14,8,2,1299.0,2598.0,MobilePay,Regular
123,2023-01-06,9,4,3,899.0,2697.0,Card,Student
124,2023-01-06,3,10,4,19768.49,79073.96,Cash,New
125,2023-01-07,9,8,2,899.0,1798.0,MobilePay,Premium
126,2023-01-07,3,20,3,24999.0,74997.0,MobilePay,Student
127,2023-01-07,24,5,1,1899.0,1899.0,Bank Transfer,New
128,2023-01-07,15,15,4,1299.0,5196.0,MobilePay,Regular
129,2023-01-07,9,12,5,899.0,4495.0,Bank Transfer,New
130,2023-01-07,10,10,1,2499.0,2499.0,Bank Transfer,Regular
131,2023-01-07,4,19,1,15999.0,15999.0,Cash,Regular
132,2023-01-07,25,22,1,776.21,776.21,Card,Student
133,2023-01-07,22,10,3,8999.0,26997.0,Cash,Premium
134,2023-01-07,14,20,1,1299.0,1299.0,MobilePay,Regular
135,2023-01-07,23,21,1,3299.0,3299.0,Card,New
136,2023-01-07,18,3,4,4999.0,19996.0,Bank Transfer,Premium
137,2023-01-07,3,18,3,24999.0,74997.0,Cash,Premium
138,2023-01-07,4,16,4,15999.0,63996.0,Cash,Regular
139,2023-01-07,11,3,1,1299.0,1299.0,Bank Transfer,New
140,2023-01-07,2,13,1,8999.0,8999.0,Bank Transfer,New
141,2023-01-07,15,22,1,1299.0,1299.0,Cash,Regular
142,2023-01-07,16,16,1,599.0,599.0,Cash,Premium
143,2023-01-07,14,21,3,1299.0,3897.0,Cash,Student
144,2023-01-07,2,2,4,8999.0,35996.0,Bank Transfer,Regular
145,2023-01-07,2,18,1,8999.0,8999.0,Bank Transfer,Premium
146,2023-01-07,23,21,1,3299.0,3299.0,Bank Transfer,New
147,2023-01-07,1,12,1,12999.0,12999.0,MobilePay,New
148,2023-01-07,2,22,1,8999.0,8999.0,Cash,Regular
149,2023-01-07,8,7,4,5999.0,23996.0,Bank Transfer,Regular
150,2023-01-07,15,21,2,1299.0,2598.0,Card,New
151,2023-01-07,4,5,3,15999.0,47997.0,MobilePay,Premium
152,2023-01-08,5,5,3,3499.0,10497.0,Cash,Premium
153,2023-01-08,25,18,1,999.0,999.0,Card,Premium
154,2023-01-08,1,8,2,11659.15,23318.3,MobilePay,Student
155,2023-01-08,12,24,1,1599.0,1599.0,Cash,Regular
156,2023-01-08,10,8,4,1982.59,7930.36,Cash,Student
157,2023-01-08,14,1,1,1299.0,1299.0,Bank Transfer,Student
158,2023-01-08,16,16,2,599.0,1198.0,Card,New
159,2023-01-08,14,3,1,1299.0,1299.0,Cash,Student
160,2023-01-08,25,17,1,999.0,999.0,Bank Transfer,Regular
161,2023-01-08,21,4,3,1999.0,5997.0,MobilePay,Student
162,2023-01-08,10,8,1,2499.0,2499.0,Bank Transfer,Student
163,2023-01-08,18,11,1,4999.0,4999.0,Cash,Premium
164,2023-01-08,16,16,1,599.0,599.0,Card,Student
165,2023-01-08,2,24,1,8441.1,8441.1,Cash,Regular
166,2023-01-08,8,22,4,5999.0,23996.0,Card,New
167,2023-01-08,13,12,1,2199.0,2199.0,MobilePay,Student
168,2023-01-08,4,4,1,15999.0,15999.0,Card,New
169,2023-01-08,13,14,3,2199.0,6597.0,Card,New
170,2023-01-08,1,9,2,12999.0,25998.0,Cash,New
171,2023-01-08,1,5,2,12999.0,25998.0,MobilePay,Regular
172,2023-01-08,2,17,1,8999.0,8999.0,Cash,Premium
173,2023-01-08,6,24,1,399.0,399.0,Card,Regular
174,2023-01-08,3,25,2,24999.0,49998.0,Cash,Student
175,2023-01-09,9,20,1,899.0,899.0,Card,New
176,2023-01-09,9,10,2,899.0,1798.0,Cash,Regular
177,2023-01-09,4,20,1,15999.0,15999.0,MobilePay,Premium
178,2023-01-09,19,10,1,2160.81,2160.81,MobilePay,Premium
179,2023-01-09,7,23,1,1699.0,1699.0,Cash,Regular
180,2023-01-09,8,24,1,4593.84,4593.84,Cash,Student
181,2023-01-09,13,23,2,2199.0,4398.0,Bank Transfer,Regular
182,2023-01-09,25,6,3,999.0,2997.0,Cash,Regular
183,2023-01-09,9,4,1,899.0,899.0,Card,Student
184,2023-01-09,22,24,1,8999.0,8999.0,MobilePay,Regular
185,2023-01-09,11,4,2,1299.0,2598.0,Cash,New
186,2023-01-09,18,21,3,4999.0,14997.0,MobilePay,New
187,2023-01-09,3,20,1,24999.0,24999.0,Card,Premium
188,2023-01-09,24,21,1,1899.0,1899.0,Bank Transfer,New
189,2023-01-09,22,21,1,8999.0,8999.0,Bank Transfer,Student
190,2023-01-09,14,9,2,1299.0,2598.0,Card,New
191,2023-01-09,10,2,1,2499.0,2499.0,Card,Regular
192,2023-01-09,14,17,1,1299.0,1299.0,Card,Student
193,2023-01-09,24,19,2,1899.0,3798.0,Bank Transfer,Premium
194,2023-01-09,25,15,1,999.0,999.0,Cash,Regular
195,2023-01-09,11,6,1,1299.0,1299.0,Bank Transfer,Premium
196,2023-01-09,6,10,1,399.0,399.0,Card,New
197,2023-01-09,1,4,2,12999.0,25998.0,Cash,Premium
198,2023-01-09,5,19,2,3499.0,6998.0,Cash,Student
199,2023-01-09,2,23,4,8999.0,35996.0,Bank Transfer,New
200,2023-01-09,21,22,2,1999.0,3998.0,Card,Student
201,2023-01-09,11,1,1,1299.0,1299.0,MobilePay,New
202,2023-01-09,24,16,1,1899.0,1899.0,MobilePay,Regular
203,2023-01-10,22,4,2,8999.0,17998.0,Card,New
204,2023-01-10,22,20,1,8999.0,8999.0,MobilePay,Premium
205,2023-01-10,22,25,2,8999.0,17998.0,Bank Transfer,Regular
206,2023-01-10,8,22,2,5999.0,11998.0,Cash,Student
207,2023-01-10,4,8,1,15999.0,15999.0,Bank Transfer,Premium
208,2023-01-10,6,19,5,399.0,1995.0,Cash,Student
209,2023-01-10,11,14,4,1299.0,5196.0,MobilePay,New
210,2023-01-10,1,16,3,12999.0,38997.0,Card,Regular
211,2023-01-10,5,25,1,3499.0,3499.0,MobilePay,Student
212,2023-01-10,2,8,3,8999.0,26997.0,Card,Student
213,2023-01-10,1,17,1,12999.0,12999.0,Card,New
214,2023-01-10,4,11,4,15999.0,63996.0,Cash,Premium
215,2023-01-10,2,10,4,8999.0,35996.0,MobilePay,Student
216,2023-01-10,10,1,4,2266.27,9065.08,MobilePay,Student
217,2023-01-10,2,10,1,8119.91,8119.91,Bank Transfer,Regular
218,2023-01-10,2,16,2,7621.48,15242.96,MobilePay,Premium
219,2023-01-11,9,20,1,899.0,899.0,MobilePay,Regular
220,2023-01-11,12,12,1,1599.0,1599.0,Card,Student
221,2023-01-11,22,2,2,8999.0,17998.0,Cash,Regular
222,2023-01-11,6,3,1,399.0,399.0,Card,New
223,2023-01-11,2,12,2,8999.0,17998.0,MobilePay,Student
224,2023-01-11,25,16,2,999.0,1998.0,Card,Student
225,2023-01-11,1,7,1,12999.0,12999.0,Card,New
226,2023-01-11,24,17,1,1899.0,1899.0,Bank Transfer,New
227,2023-01-11,1,21,1,12999.0,12999.0,Card,New
228,2023-01-11,4,12,1,15999.0,15999.0,Bank Transfer,Student
229,2023-01-11,5,6,1,3499.0,3499.0,Cash,Regular
230,2023-01-11,18,3,1,4999.0,4999.0,MobilePay,New
231,2023-01-11,5,3,1,3499.0,3499.0,Bank Transfer,Student
232,2023-01-11,3,15,1,19399.04,19399.04,Cash,Student
233,2023-01-11,4,2,1,15999.0,15999.0,Cash,Premium
234,2023-01-11,24,5,3,1899.0,5697.0,Bank Transfer,Regular
235,2023-01-12,1,25,2,12999.0,25998.0,Card,Premium
236,2023-01-12,16,12,1,599.0,599.0,MobilePay,New
237,2023-01-12,8,21,1,5999.0,5999.0,Card,Premium
238,2023-01-12,11,13,4,1032.71,4130.84,Bank Transfer,Premium
239,2023-01-12,25,10,2,999.0,1998.0,MobilePay,Regular
240,2023-01-12,2,3,1,8999.0,8999.0,Bank Transfer,Regular
241,2023-01-12,21,11,2,1999.0,3998.0,Cash,New
242,2023-01-12,22,23,2,8999.0,17998.0,MobilePay,New
243,2023-01-12,11,4,5,1299.0,6495.0,MobilePay,Student
244,2023-01-12,1,18,2,12999.0,25998.0,MobilePay,Regular
245,2023-01-12,1,13,5,12999.0,64995.0,Bank Transfer,Student
246,2023-01-13,2,11,2,8999.0,17998.0,Cash,Premium
247,2023-01-13,22,25,2,8999.0,17998.0,MobilePay,Student
248,2023-01-13,11,2,3,1299.0,3897.0,Cash,Premium
249,2023-01-13,3,23,1,24999.0,24999.0,Cash,Regular
250,2023-01-13,4,21,4,15999.0,63996.0,Cash,Regular
251,2023-01-13,11,6,2,1299.0,2598.0,MobilePay,New
252,2023-01-13,22,19,1,8999.0,8999.0,Card,Regular
253,2023-01-13,24,25,2,1899.0,3798.0,Bank Transfer,Regular
254,2023-01-13,11,21,2,1299.0,2598.0,Cash,Student
255,2023-01-13,4,22,1,15999.0,15999.0,Card,Premium
256,2023-01-13,9,16,1,899.0,899.0,MobilePay,New
257,2023-01-13,22,11,2,8999.0,17998.0,Bank Transfer,Premium
258,2023-01-13,19,17,2,2699.0,5398.0,Bank Transfer,Regular
259,2023-01-13,4,8,1,12174.01,12174.01,Bank Transfer,Premium
260,2023-01-13,25,6,3,999.0,2997.0,Cash,Premium
261,2023-01-13,19,16,5,2699.0,13495.0,Cash,Student
262,2023-01-13,1,13,2,12999.0,25998.0,MobilePay,New
263,2023-01-13,1,10,1,12999.0,12999.0,Bank Transfer,New
264,2023-01-13,12,4,1,1599.0,1599.0,Cash,Student
265,2023-01-13,6,13,1,399.0,399.0,Cash,New
266,2023-01-13,2,17,1,8999.0,8999.0,Card,Premium
267,2023-01-13,25,13,1,999.0,999.0,Cash,Premium
268,2023-01-13,3,17,1,23554.49,23554.49,Cash,Student
269,2023-01-13,12,5,2,1599.0,3198.0,Cash,New
270,2023-01-13,3,20,2,24999.0,49998.0,Cash,Student
271,2023-01-14,13,16,3,2199.0,6597.0,Card,Student
272,2023-01-14,13,24,3,2199.0,6597.0,Bank Transfer,New
273,2023-01-14,25,25,2,999.0,1998.0,Card,Student
274,2023-01-14,3,21,2,24999.0,49998.0,Bank Transfer,Premium
275,2023-01-14,22,8,1,8999.0,8999.0,Card,Premium
276,2023-01-14,1,11,1,12999.0,12999.0,MobilePay,Student
277,2023-01-14,11,20,4,1299.0,5196.0,Card,Premium
278,2023-01-14,12,18,1,1599.0,1599.0,Bank Transfer,New
279,2023-01-14,25,15,4,999.0,3996.0,Cash,New
280,2023-01-14,14,7,4,1299.0,5196.0,Cash,Premium
281,2023-01-14,24,10,3,1899.0,5697.0,Bank Transfer,New
282,2023-01-14,11,18,4,1299.0,5196.0,Cash,New
283,2023-01-14,2,22,2,8999.0,17998.0,Bank Transfer,New
284,2023-01-14,25,5,1,999.0,999.0,Card,New
285,2023-01-14,24,21,1,1899.0,1899.0,MobilePay,New
286,2023-01-14,24,23,1,1522.66,1522.66,MobilePay,Premium
287,2023-01-14,1,17,1,12999.0,12999.0,Card,Student
288,2023-01-14,5,16,1,3499.0,3499.0,Card,Premium
289,2023-01-14,8,16,1,5999.0,5999.0,Cash,New
290,2023-01-14,5,2,4,2922.27,11689.08,Card,Premium
291,2023-01-14,8,6,4,4695.77,18783.08,Bank Transfer,Premium
292,2023-01-14,24,10,3,1588.34,4765.02,Card,New
293,2023-01-14,5,21,2,3499.0,6998.0,MobilePay,Student
294,2023-01-14,4,4,1,15999.0,15999.0,Cash,Premium
295,2023-01-14,1,11,3,12999.0,38997.0,MobilePay,Premium
296,2023-01-14,14,21,3,1299.0,3897.0,Cash,Regular
297,2023-01-14,8,4,1,5310.79,5310.79,MobilePay,Regular
298,2023-01-14,4,8,1,15999.0,15999.0,Cash,New
299,2023-01-14,13,19,1,2199.0,2199.0,MobilePay,Regular
300,2023-01-14,15,15,1,1299.0,1299.0,Cash,Regular
301,2023-01-14,14,10,1,1299.0,1299.0,MobilePay,Student
302,2023-01-14,3,24,5,24999.0,124995.0,Bank Transfer,Premium
303,2023-01-14,19,22,3,2699.0,8097.0,Card,Student
304,2023-01-14,12,12,1,1599.0,1599.0,Card,Premium
305,2023-01-14,13,5,1,2199.0,2199.0,Bank Transfer,Regular
306,2023-01-14,16,23,2,507.91,1015.82,Card,Student
307,2023-01-14,2,14,1,7716.86,7716.86,Cash,Regular
308,2023-01-14,8,1,2,5999.0,11998.0,Card,Student
309,2023-01-15,17,18,5,799.0,3995.0,Card,Student
310,2023-01-15,1,14,1,10681.21,10681.21,Bank Transfer,New
311,2023-01-15,25,13,1,999.0,999.0,Bank Transfer,Student
312,2023-01-15,2,22,3,7000.71,21002.13,Card,Premium
313,2023-01-15,25,13,2,999.0,1998.0,MobilePay,Regular
314,2023-01-15,19,10,1,2699.0,2699.0,Bank Transfer,Student
315,2023-01-15,22,8,1,8999.0,8999.0,MobilePay,Regular
316,2023-01-15,1,22,1,12999.0,12999.0,Card,Premium
317,2023-01-15,3,4,2,24999.0,49998.0,Card,Premium
318,2023-01-15,18,13,1,4999.0,4999.0,Card,Premium
319,2023-01-15,11,10,1,1299.0,1299.0,Cash,New
320,2023-01-15,4,5,5,15999.0,79995.0,Bank Transfer,New
321,2023-01-15,4,18,4,15999.0,63996.0,MobilePay,Student
322,2023-01-15,12,2,5,1599.0,7995.0,Bank Transfer,New
323,2023-01-15,16,14,1,599.0,599.0,Bank Transfer,Premium
324,2023-01-15,22,10,3,7715.7,23147.1,Card,Student
325,2023-01-15,25,18,2,999.0,1998.0,Cash,Premium
326,2023-01-15,5,3,4,3499.0,13996.0,Card,Premium
327,2023-01-15,1,13,2,12999.0,25998.0,Card,Premium
328,2023-01-15,21,19,2,1999.0,3998.0,Bank Transfer,Premium
329,2023-01-15,22,11,1,8999.0,8999.0,MobilePay,Premium
330,2023-01-15,25,4,2,999.0,1998.0,MobilePay,Premium
331,2023-01-15,8,8,2,5999.0,11998.0,Bank Transfer,Student
332,2023-01-15,12,12,1,1599.0,1599.0,Bank Transfer,Student
333,2023-01-15,2,24,1,8999.0,8999.0,MobilePay,New
334,2023-01-15,5,2,2,3499.0,6998.0,MobilePay,Regular
335,2023-01-15,4,19,2,15999.0,31998.0,MobilePay,Premium
336,2023-01-16,4,19,3,15999.0,47997.0,Cash,New
337,2023-01-16,19,16,4,2699.0,10796.0,Bank Transfer,Student
338,2023-01-16,3,12,1,24999.0,24999.0,Bank Transfer,Premium
339,2023-01-16,24,18,5,1899.0,9495.0,Card,Regular
340,2023-01-16,24,22,1,1751.83,1751.83,MobilePay,Regular
341,2023-01-16,17,1,1,799.0,799.0,Card,Student
342,2023-01-16,15,1,1,1299.0,1299.0,Card,Regular
343,2023-01-16,12,9,2,1599.0,3198.0,Bank Transfer,Premium
344,2023-01-16,2,4,2,8999.0,17998.0,Cash,New
345,2023-01-16,4,13,1,15999.0,15999.0,Bank Transfer,Premium
346,2023-01-16,25,8,1,999.0,999.0,Card,Regular
347,2023-01-16,2,13,1,8999.0,8999.0,Card,Premium
348,2023-01-16,2,14,2,8999.0,17998.0,Card,Regular
349,2023-01-16,4,23,3,15999.0,47997.0,Card,Regular
350,2023-01-16,16,9,3,599.0,1797.0,Card,Premium
351,2023-01-16,24,11,1,1899.0,1899.0,MobilePay,Student
352,2023-01-16,24,10,1,1899.0,1899.0,Bank Transfer,New
353,2023-01-17,19,5,3,2699.0,8097.0,Card,New
354,2023-01-17,1,14,1,10775.73,10775.73,Bank Transfer,New
355,2023-01-17,1,9,3,12999.0,38997.0,MobilePay,New
356,2023-01-17,12,13,1,1599.0,1599.0,Bank Transfer,Regular
357,2023-01-17,20,10,3,699.0,2097.0,Card,New
358,2023-01-17,3,23,3,24999.0,74997.0,Bank Transfer,New
359,2023-01-17,6,3,1,399.0,399.0,Cash,New
360,2023-01-17,2,3,1,8999.0,8999.0,Bank Transfer,Regular
361,2023-01-17,1,12,2,12999.0,25998.0,Cash,Student
362,2023-01-17,1,14,1,10006.28,10006.28,MobilePay,Premium
363,2023-01-17,16,6,1,599.0,599.0,Bank Transfer,Premium
364,2023-01-17,1,14,1,12999.0,12999.0,Card,New
365,2023-01-17,4,8,2,15999.0,31998.0,MobilePay,Student
366,2023-01-17,2,10,1,8999.0,8999.0,Bank Transfer,New
367,2023-01-17,9,14,3,899.0,2697.0,MobilePay,New
368,2023-01-17,5,23,1,3499.0,3499.0,Bank Transfer,New
369,2023-01-17,5,23,2,3499.0,6998.0,MobilePay,New
370,2023-01-17,7,13,1,1699.0,1699.0,MobilePay,Premium
371,2023-01-17,16,18,1,599.0,599.0,MobilePay,Student
372,2023-01-18,5,23,1,3499.0,3499.0,Bank Transfer,Student
373,2023-01-18,2,10,1,8999.0,8999.0,Bank Transfer,Student
374,2023-01-18,2,20,1,8999.0,8999.0,Bank Transfer,Regular
375,2023-01-18,21,12,2,1999.0,3998.0,Card,Regular
376,2023-01-18,20,22,2,699.0,1398.0,Card,Student
377,2023-01-18,25,11,4,999.0,3996.0,Card,Regular
378,2023-01-18,4,17,2,15999.0,31998.0,MobilePay,Student
379,2023-01-18,7,15,3,1699.0,5097.0,MobilePay,New
380,2023-01-18,25,16,1,999.0,999.0,Card,Regular
381,2023-01-18,22,24,1,8999.0,8999.0,Bank Transfer,Premium
382,2023-01-18,12,12,1,1599.0,1599.0,Bank Transfer,New
383,2023-01-18,1,2,3,10141.35,30424.05,Card,Premium
384,2023-01-18,24,24,1,1899.0,1899.0,MobilePay,New
385,2023-01-18,13,15,1,2199.0,2199.0,MobilePay,Premium
386,2023-01-18,14,14,1,1299.0,1299.0,MobilePay,Student
387,2023-01-18,13,13,1,2199.0,2199.0,Cash,Regular
388,2023-01-18,13,18,1,2199.0,2199.0,Bank Transfer,Regular
389,2023-01-18,4,16,2,15999.0,31998.0,Bank Transfer,Student
390,2023-01-18,13,12,1,2199.0,2199.0,MobilePay,New
391,2023-01-18,24,19,1,1759.29,1759.29,Cash,Regular
392,2023-01-18,3,23,1,24999.0,24999.0,MobilePay,Student
393,2023-01-18,9,16,2,899.0,1798.0,MobilePay,Premium
394,2023-01-18,11,5,1,1299.0,1299.0,Card,New
395,2023-01-18,24,16,1,1899.0,1899.0,Bank Transfer,Student
396,2023-01-18,16,14,2,599.0,1198.0,MobilePay,Regular
397,2023-01-18,13,25,1,1990.16,1990.16,Cash,Premium
398,2023-01-18,20,19,2,699.0,1398.0,Card,Regular
399,2023-01-18,4,18,3,15999.0,47997.0,Card,Student
400,2023-01-18,12,14,1,1599.0,1599.0,MobilePay,New
401,2023-01-18,22,2,1,8999.0,8999.0,Card,Student
402,2023-01-18,22,4,3,8999.0,26997.0,Cash,Student
403,2023-01-18,3,5,3,24999.0,74997.0,Card,New
404,2023-01-19,5,18,1,3499.0,3499.0,Cash,New
405,2023-01-19,13,17,5,2199.0,10995.0,Card,Premium
406,2023-01-19,25,14,4,999.0,3996.0,MobilePay,Premium
407,2023-01-19,4,23,1,15999.0,15999.0,Bank Transfer,Student
408,2023-01-19,3,21,1,24999.0,24999.0,Bank Transfer,Regular
409,2023-01-19,14,25,1,1299.0,1299.0,Cash,New
410,2023-01-19,10,16,1,1987.14,1987.14,Card,Student
411,2023-01-19,14,23,1,1095.21,1095.21,MobilePay,Student
412,2023-01-19,22,16,1,8999.0,8999.0,Cash,Premium
413,2023-01-19,13,16,3,2199.0,6597.0,Card,Regular
414,2023-01-19,2,15,1,8999.0,8999.0,MobilePay,Student
415,2023-01-19,10,14,1,2499.0,2499.0,MobilePay,New
416,2023-01-19,3,9,1,24999.0,24999.0,Card,New
417,2023-01-19,15,21,1,1299.0,1299.0,Cash,Premium
418,2023-01-19,9,3,2,768.32,1536.64,MobilePay,Premium
419,2023-01-19,12,15,1,1599.0,1599.0,Card,Student
